index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024,Smogon_VGC_Usage_2014,Smogon_VGC_Usage_2015,Smogon_VGC_Usage_2016,Smogon_VGC_Usage_2017,Smogon_VGC_Usage_2018,Smogon_VGC_Usage_2019,Smogon_VGC_Usage_2020,Smogon_VGC_Usage_2021,Worlds_VGC_Usage_2024_Numeric
8,wartortle,water,No_type,torrent,No_ability,rain-dish,59,63,80,65,80,58,405,False,False,generation-i,0.0,NoUsage,0.00017,NoUsage,NoUsage,NoUsage,NoUsage,0.00111,0.0,NoUsage,0.0,0.0,NoUsage,0.01173,
9,blastoise,water,No_type,torrent,No_ability,rain-dish,79,83,100,85,105,78,530,False,False,generation-i,3.58274,NoUsage,0.14874,4.98,NoUsage,0.18,1.29399,0.04955,0.0,NoUsage,0.01371,0.00186,NoUsage,13.54607,0.18
9,blastoise-mega,water,No_type,mega-launcher,No_ability,None ,79,103,120,135,115,78,630,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,1.11384,0.67905,NoUsage,0.31072,6e-05,NoUsage,NoUsage,
9,blastoise-gmax,water,No_type,torrent,No_ability,rain-dish,79,83,100,85,105,78,530,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
10,caterpie,bug,No_type,shield-dust,No_ability,run-away,45,30,35,20,20,45,195,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,7e-05,NoUsage,NoUsage,0.0,0.0,0.00021,
11,metapod,bug,No_type,shed-skin,No_ability,None ,50,20,55,25,25,30,205,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,0.0,0.0,3e-05,0.0,
12,butterfree,bug,flying,compound-eyes,No_ability,tinted-lens,60,45,50,90,80,70,395,False,False,generation-i,0.04471,NoUsage,NoUsage,0.04,NoUsage,NoUsage,0.01673,0.00047,0.0,0.00223,0.0,0.0001,4.16758,0.11675,
12,butterfree-gmax,bug,flying,compound-eyes,No_ability,tinted-lens,60,45,50,90,80,70,395,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
13,weedle,bug,poison,shield-dust,No_ability,run-away,40,35,30,20,20,50,195,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,8e-05,0.0,0.0,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
14,kakuna,bug,poison,shed-skin,No_ability,None ,45,25,50,25,25,35,205,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,0.0,NoUsage,0.0,0.0,NoUsage,NoUsage,
15,beedrill,bug,poison,swarm,No_ability,sniper,65,90,40,45,80,75,395,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.01045,0.00134,0.0,NoUsage,0.0,0.0,NoUsage,NoUsage,
15,beedrill-mega,bug,poison,adaptability,No_ability,None ,65,150,40,15,80,145,495,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.05664,0.0,NoUsage,0.73715,0.05821,NoUsage,NoUsage,
16,pidgey,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,251,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,7e-05,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
17,pidgeotto,normal,flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,349,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.00027,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
18,pidgeot,normal,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,479,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.02368,0.0018,0.0,NoUsage,0.00574,0.0,NoUsage,NoUsage,
18,pidgeot-mega,normal,flying,no-guard,No_ability,None ,83,80,80,135,80,121,579,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.19747,0.0001,NoUsage,0.0033,0.0247,NoUsage,NoUsage,
19,rattata,normal,No_type,run-away,guts,hustle,30,56,35,25,35,72,253,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,7e-05,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
19,rattata-alola,dark,normal,gluttony,hustle,thick-fat,30,56,35,25,35,72,253,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,NoUsage,NoUsage,
20,raticate,normal,No_type,run-away,guts,hustle,55,81,60,50,70,97,413,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,1e-05,1e-05,NoUsage,0.0,0.0,NoUsage,NoUsage,
20,raticate-alola,dark,normal,gluttony,hustle,thick-fat,75,71,70,40,80,77,413,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.07935,0.08675,8e-05,NoUsage,NoUsage,
20,raticate-totem-alola,dark,normal,gluttony,hustle,thick-fat,75,71,70,40,80,77,413,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
21,spearow,normal,flying,keen-eye,No_ability,sniper,40,60,30,31,31,70,262,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
22,fearow,normal,flying,keen-eye,No_ability,sniper,65,90,65,61,61,100,442,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,0.00013,0.01728,NoUsage,NoUsage,
23,ekans,poison,No_type,intimidate,shed-skin,unnerve,35,60,44,40,54,55,288,False,False,generation-i,NoUsage,5e-05,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,1e-05,NoUsage,NoUsage,NoUsage,
24,arbok,poison,No_type,intimidate,shed-skin,unnerve,60,95,69,65,79,80,448,False,False,generation-i,NoUsage,0.04876,0.00779,NoUsage,0.04,NoUsage,0.13588,0.00015,0.0,NoUsage,7e-05,0.00189,NoUsage,NoUsage,
25,pikachu,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,0.15854,0.00831,0.09502,0.1,NoUsage,0.04,0.01373,0.0417,9e-05,0.30378,0.03244,0.1071,0.59376,0.05203,0.04
25,pikachu-rock-star,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-belle,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-pop-star,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-phd,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-libre,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-cosplay,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-original-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-hoenn-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-sinnoh-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-unova-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-kalos-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-alola-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-partner-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-starter,electric,No_type,static,No_ability,lightning-rod,45,80,50,75,60,120,430,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-world-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
25,pikachu-gmax,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
26,raichu,electric,No_type,static,No_ability,lightning-rod,60,90,55,90,80,110,485,False,False,generation-i,5.14672,0.23088,0.04308,0.87,NoUsage,0.09,8.19134,3.88952,8.53499,NoUsage,3.32199,0.90529,1.06379,1.64946,0.09
26,raichu-alola,electric,psychic,surge-surfer,No_ability,None ,60,85,50,95,85,110,485,False,False,generation-i,0.00562,0.0096,0.00836,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,2.25985,0.1844,0.19293,NoUsage,0.00632,
27,sandshrew,ground,No_type,sand-veil,No_ability,sand-rush,50,75,85,20,30,40,300,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
27,sandshrew-alola,ice,steel,snow-cloak,No_ability,slush-rush,50,75,90,10,35,40,300,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
28,sandslash,ground,No_type,sand-veil,No_ability,sand-rush,75,100,110,45,55,65,450,False,False,generation-i,0.0,0.00383,0.0,NoUsage,NoUsage,NoUsage,0.01417,0.00043,0.0,NoUsage,0.00505,0.0,NoUsage,0.00053,
28,sandslash-alola,ice,steel,snow-cloak,No_ability,slush-rush,75,100,120,25,65,65,450,False,False,generation-i,0.0003,0.1416,0.00712,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,1.39903,0.09573,0.00011,NoUsage,0.00703,
29,nidoranf,poison,No_type,poison-point,rivalry,hustle,55,47,52,40,40,41,275,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
30,nidorina,poison,No_type,poison-point,rivalry,hustle,70,62,67,55,55,56,365,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
31,nidoqueen,poison,ground,poison-point,rivalry,sheer-force,90,92,87,75,85,76,505,False,False,generation-i,3e-05,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.41476,0.30202,0.00024,NoUsage,0.23476,5e-05,NoUsage,4e-05,
32,nidoranm,poison,No_type,poison-point,rivalry,hustle,46,57,40,40,40,50,273,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,
33,nidorino,poison,No_type,poison-point,rivalry,hustle,61,72,57,55,55,65,365,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,
34,nidoking,poison,ground,poison-point,rivalry,sheer-force,81,102,77,85,75,85,505,False,False,generation-i,0.01135,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.2781,0.29073,0.44281,NoUsage,0.20505,0.0208,NoUsage,0.14925,
35,clefairy,fairy,No_type,cute-charm,magic-guard,friend-guard,70,45,48,60,65,35,323,False,False,generation-i,0.8427,3.27868,0.52346,1.27,2.09,0.45,NoUsage,1.14136,0.00711,0.93391,5.09699,0.10204,0.09725,1.00605,0.45
36,clefable,fairy,No_type,cute-charm,magic-guard,unaware,95,70,73,95,90,60,483,False,False,generation-i,0.08481,0.14252,0.02832,NoUsage,0.19,3.93,NoUsage,3.09602,0.52705,1.52,0.04191,0.00456,0.58172,0.22659,3.93
37,vulpix,fire,No_type,flash-fire,No_ability,drought,38,41,40,50,65,65,299,False,False,generation-i,0.0,1e-05,0.0,NoUsage,NoUsage,0.05,NoUsage,0.01078,0.0,NoUsage,NoUsage,0.0,0.0,2e-05,0.05
37,vulpix-alola,ice,No_type,snow-cloak,No_ability,snow-warning,38,41,40,50,65,65,299,False,False,generation-i,0.0,0.00027,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,0.0,NoUsage,0.0,
38,ninetales,fire,No_type,flash-fire,No_ability,drought,73,76,75,81,100,100,505,False,False,generation-i,0.00462,0.89173,0.26427,NoUsage,NoUsage,0.09,NoUsage,0.46096,0.10105,NoUsage,0.01032,3e-05,0.69451,0.03112,0.09
38,ninetales-alola,ice,fairy,snow-cloak,No_ability,snow-warning,73,67,75,81,100,109,505,False,False,generation-i,0.10998,8.36146,1.41708,0.06,6.03,11.47,NoUsage,NoUsage,NoUsage,15.13921,3.79755,0.00719,NoUsage,0.30046,11.47
39,jigglypuff,normal,fairy,cute-charm,competitive,friend-guard,115,45,20,45,25,20,270,False,False,generation-i,0.01032,2e-05,0.00064,NoUsage,NoUsage,NoUsage,2e-05,0.00346,0.01391,0.00411,1e-05,1e-05,NoUsage,0.01361,
40,wigglytuff,normal,fairy,cute-charm,competitive,frisk,140,70,45,85,50,45,435,False,False,generation-i,1e-05,0.01243,0.00096,NoUsage,NoUsage,NoUsage,0.25073,0.03282,0.0,0.03032,0.09481,0.12591,NoUsage,0.00154,
41,zubat,poison,flying,inner-focus,No_ability,infiltrator,40,45,35,30,40,55,245,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,7e-05,NoUsage,NoUsage,0.0,NoUsage,0.0,
42,golbat,poison,flying,inner-focus,No_ability,infiltrator,75,80,70,65,75,90,455,False,False,generation-i,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.02755,0.00033,0.0,0.0,0.04934,0.03267,NoUsage,0.00011,
43,oddish,grass,poison,chlorophyll,No_ability,run-away,45,50,55,75,65,30,320,False,False,generation-i,0.0,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,
44,gloom,grass,poison,chlorophyll,No_ability,stench,60,65,70,85,75,40,395,False,False,generation-i,0.0,NoUsage,0.00022,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,2e-05,0.0,7e-05,0.0,
45,vileplume,grass,poison,chlorophyll,No_ability,effect-spore,75,80,85,110,90,50,490,False,False,generation-i,0.0,NoUsage,0.00475,NoUsage,NoUsage,NoUsage,0.10724,0.00938,0.00075,NoUsage,0.00069,0.00066,2.32413,0.00032,
46,paras,bug,grass,effect-spore,dry-skin,damp,35,70,55,45,55,25,285,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,NoUsage,0.0,NoUsage,NoUsage,
47,parasect,bug,grass,effect-spore,dry-skin,damp,60,95,80,60,80,30,405,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.06757,0.0,0.0013,0.18566,0.07575,NoUsage,NoUsage,
48,venonat,bug,poison,compound-eyes,tinted-lens,run-away,60,55,50,40,55,45,305,False,False,generation-i,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
49,venomoth,bug,poison,shield-dust,tinted-lens,wonder-skin,70,65,60,90,75,90,450,False,False,generation-i,NoUsage,0.00453,0.00016,NoUsage,NoUsage,NoUsage,NoUsage,0.00017,0.0,NoUsage,0.0,0.00064,NoUsage,NoUsage,
50,diglett,ground,No_type,sand-veil,arena-trap,sand-force,10,55,25,35,45,95,265,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,1e-05,0.0,0.0,NoUsage,NoUsage,NoUsage,0.00081,0.0,
50,diglett-alola,ground,steel,sand-veil,tangling-hair,sand-force,10,55,30,35,45,90,265,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,
51,dugtrio,ground,No_type,sand-veil,arena-trap,sand-force,35,100,50,50,70,120,425,False,False,generation-i,0.02237,0.02947,0.00138,0.08,NoUsage,NoUsage,0.01147,0.01128,0.0,NoUsage,0.04186,0.00236,0.06563,0.00583,
51,dugtrio-alola,ground,steel,sand-veil,tangling-hair,sand-force,35,100,60,50,70,110,425,False,False,generation-i,0.0,0.00079,0.0001,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.00434,0.0,0.00079,NoUsage,3e-05,
52,meowth,normal,No_type,pickup,technician,unnerve,40,45,35,40,40,90,290,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,0.0,0.00025,0.0,
52,meowth-alola,dark,No_type,pickup,technician,rattled,40,35,35,50,40,90,290,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,0.0,
52,meowth-galar,steel,No_type,pickup,tough-claws,unnerve,50,65,55,40,40,40,290,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,0.0,0.0,
52,meowth-gmax,normal,No_type,pickup,technician,unnerve,40,45,35,40,40,90,290,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
53,persian,normal,No_type,limber,technician,unnerve,65,70,60,65,65,115,440,False,False,generation-i,0.0,0.01124,0.00063,NoUsage,NoUsage,NoUsage,NoUsage,0.00425,0.0,NoUsage,0.0,4e-05,0.01051,6e-05,
53,persian-alola,dark,No_type,fur-coat,technician,rattled,65,60,60,75,65,115,440,False,False,generation-i,0.3081,0.14897,0.0209,0.23,0.04,NoUsage,NoUsage,NoUsage,NoUsage,10.40865,1.41411,0.28926,NoUsage,0.00715,
54,psyduck,water,No_type,damp,cloud-nine,swift-swim,50,52,48,65,50,55,320,False,False,generation-i,0.0,0.0,1e-05,NoUsage,NoUsage,NoUsage,0.0,0.0,NoUsage,NoUsage,0.0,2e-05,NoUsage,0.0,
55,golduck,water,No_type,damp,cloud-nine,swift-swim,80,82,78,95,80,85,500,False,False,generation-i,0.01611,0.02501,0.01269,NoUsage,NoUsage,NoUsage,0.00188,0.01129,0.08069,2.86063,0.00211,0.02095,NoUsage,0.07125,
56,mankey,fighting,No_type,vital-spirit,anger-point,defiant,40,80,35,35,45,70,305,False,False,generation-i,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
57,primeape,fighting,No_type,vital-spirit,anger-point,defiant,65,105,60,60,70,95,455,False,False,generation-i,NoUsage,0.00163,0.00747,NoUsage,NoUsage,0.05,NoUsage,0.01984,7e-05,0.00048,0.00139,0.01378,NoUsage,NoUsage,0.05
58,growlithe,fire,No_type,intimidate,flash-fire,justified,55,70,45,70,50,60,350,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,3e-05,NoUsage,NoUsage,NoUsage,NoUsage,2e-05,0.0,
58,growlithe-hisui,fire,rock,intimidate,flash-fire,rock-head,60,75,45,65,50,55,350,False,False,generation-i,NoUsage,0.0,0.0,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,
59,arcanine,fire,No_type,intimidate,flash-fire,justified,90,110,80,100,80,95,555,False,False,generation-i,0.26863,21.3707,0.10139,0.06,0.17,0.31,NoUsage,5.76646,2.93862,76.04148,0.35956,0.00507,33.99943,0.30216,0.31
59,arcanine-hisui,fire,rock,intimidate,flash-fire,rock-head,95,115,80,95,80,90,555,False,False,generation-i,NoUsage,3.89183,3.26922,NoUsage,15.75,1.3,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,1.3
